Day of adulthood,,Treatment
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
21,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
23,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
26,1,#13Zyg-12
27,1,#13Zyg-12
27,1,#13Zyg-12
27,1,#13Zyg-12
27,1,#13Zyg-12
33,1,#13Zyg-12
8,0,#15Zyg-12
8,0,#15Zyg-12
8,0,#15Zyg-12
8,0,#15Zyg-12
8,1,#15Zyg-12
8,1,#15Zyg-12
